Timestep,,BLTI,BRTI,C7,CHIN,CLAV,FBBT,FLTI,FRBT,FRTI,LAKI,LANK,LBAC,LBHD,LBWT,LELB,LELS,LELSO,LFBB,LFFB,LFFT,LFHD,LFIN,LFLB,LFLT,LFMT,LFPI,LFRM,LFWT,LHAP,LHEB,LHEE,LHFR,LHPI,LHTH,LHTO,LKNE,LKNI,LMT5,LSHN,LSHO,LTIA,LTIB,LTIC,LTOE,LTOP,LTOS,LUMB,LUMC,LWRA,LWRB,NOSE,RAKI,RANK,RBWT,RFBT,RFFB,RFFT,RFHD,RFIN,RFLB,RFLT,RFMB,RFMT,RFPI,RFRM,RFWT,RHBA,RHEB,RHEE,RHFR,RHME,RHPI,RHTH,RHTO,RIBL,RIBR,RITL,RITR,RKNE,RKNI,RMT5,RSHN,RSHO,RTIA,RTIB,RTIC,RTOE,RTOP,RTOS,RWRA,RWRB,THD,LHME,RHAP
All Timesteps RMSE,0,0.086869,0.0943126,0.0715871,0.0719404,0.0382374,0.0984825,0.253834,0.0993875,0.197808,0.34701,0.118623,0.0689329,0.0591105,0.100841,0.0861059,0.0890405,0.0929162,0.115909,0.0604174,0.0485671,0.0580615,0.23767,0.185854,0.05408,0.0403917,0.139423,0.264663,0.0900524,0.054802,0.129794,0.272436,0.211121,0.12684,0.140628,0.0789458,0.0914809,0.0731167,0.103311,0.0824152,0.0876546,0.082516,0.112547,0.289491,0.214797,0.138201,0.119816,0.0377028,0.0423272,0.122349,0.111522,0.0524968,0.117445,0.268132,0.0659571,0.106603,0.11781,0.0647129,0.0949789,0.200464,0.112852,0.0561033,0.0738781,0.050114,0.133334,0.0893307,0.0438675,0.0861604,0.257036,0.223342,0.0946987,0.189568,0.164651,0.231083,0.0853468,0.0401053,0.039941,0.196264,0.0613914,0.114797,0.0881035,0.121422,0.0979953,0.0716981,0.296246,0.121735,0.109635,0.154644,0.121486,0.113985,0.159293,0.120642,0.0585981,0.150978,0.0646428
0,0,0.277625,0.250028,0.0545125,0.029641,0.0437259,0.309031,0.255494,0.291803,0.288924,0.315672,0.328043,0.114274,0.0636757,0.101822,0.179465,0.147471,0.152287,0.19527,0.16917,0.111716,0.0246569,0.249895,0.613066,0.164975,0.0839862,0.294706,0.199446,0.065121,0.0493403,0.312408,0.29609,0.14366,0.240008,0.261567,0.158882,0.251776,0.258561,0.20397,0.278911,0.024733,0.270303,0.295873,0.306334,0.273485,0.307718,0.279346,0.0305239,0.0415828,0.156017,0.192267,0.0177392,0.301696,0.288172,0.0752244,0.0661599,0.268787,0.183622,0.0250973,0.211834,0.235328,0.133836,0.174352,0.0591863,0.378633,0.24841,0.0682935,0.164928,0.313935,0.303097,0.20545,0.258841,0.238011,0.212099,0.207158,0.0550614,0.0666054,0.0301888,0.0463696,0.217558,0.203045,0.3395,0.286611,0.0631753,0.320148,0.283557,0.286173,0.398487,0.359027,0.381562,0.212177,0.211633,0.0384516,0,0
1,0,0.154233,0,0.150065,0.214976,0.024267,0.249735,0.425075,0,0.161309,0.260387,0.265655,0.189262,0.133307,0,0.13941,0.122473,0.112291,0.136313,0.311999,0.223286,0.0988452,0.0624218,0.595764,0.125718,0.0872461,0.247941,0.126824,0.134257,0.0509894,0,0.192647,0.116202,0.0936323,0,0.0768676,0.181548,0.195584,0.167014,0,0,0.407091,0.455614,0.247197,0.237235,0.259312,0.239114,0.0308,0.0336142,0,0.0883382,0.0341771,0.157427,0.146022,0.101621,0,0.1488,0.0564373,0.125054,0,0.110522,0,0,0.0489336,0.208138,0,0.223259,0,0.169363,0.158901,0.146664,0.330251,0.108967,0.298514,0.140395,0,0.165607,0.207959,0.220356,0.115246,0,0.189974,0.146766,0.160677,0.184485,0.146234,0.138244,0.230213,0.190301,0.226203,0.338273,0.0970631,0.010747,0.0749644,0.0545692
2,0,0,0,0,0,0.0284709,0,0,0.0947777,0.0681714,0,0,0,0,0.162969,0.152336,0,0.12275,0,0,0,0,0.191478,0,0.0866821,0,0,0.169409,0,0.0694045,0.10893,0,0,0.170483,0,0,0,0,0,0.0878934,0.110653,0,0,0,0,0,0,0.0422657,0.040489,0.360112,0,0.0382314,0.0613881,0.0914781,0,0.040962,0.0789441,0,0,0.0896677,0.0400715,0.0252775,0,0.0823251,0.0842292,0.0182101,0,0.0644735,0.0875517,0.0921455,0,0.43543,0,0,0.0647438,0.058052,0,0,0,0,0.0760265,0.130854,0.0357435,0,0.0633109,0.0582798,0.0448159,0.0947899,0.0730671,0.108773,0,0,0.0157417,0,0.110116
3,0,0,0,0,0,0.0314027,0,0,0.21578,0.14758,0,0,0,0,0,0.19678,0.0886001,0.153214,0.0669979,0,0,0.140896,0,0.496538,0.0766515,0,0,0.228791,0,0.0846738,0,0,0,0.290101,0.293174,0,0.0827532,0.0692259,0,0.100579,0,0,0,0,0,0,0,0.0461031,0.0474014,0,0.259912,0.0314862,0.168775,0.204674,0,0,0.12935,0,0,0,0.103539,0.0709573,0.0748999,0.119369,0.125549,0,0,0,0.195931,0.175335,0,0,0.206964,0,0.0308538,0.0494281,0,0,0,0,0.14465,0.20079,0.125553,0,0.0828464,0.144161,0.178806,0.0990343,0.132054,0.127058,0,0.15844,0.0208376,0.326361,0.141928
4,0,0,0,0,0,0.0275253,0.300851,0,0.30775,0,0.348984,0.366058,0,0.0144103,0.176289,0.23088,0,0,0,0,0,0,0,0,0.0750484,0,0,0,0,0.0893536,0,0,0.166753,0,0,0.133063,0,0,0,0,0.116925,0,0,0.327234,0,0,0,0.0328216,0.0408665,0,0,0.039688,0.318589,0.325196,0,0,0.235865,0.13425,0.0327852,0,0,0.102924,0,0.139253,0,0.292273,0,0.0643214,0.290819,0,0.0586834,0,0,0,0.0659107,0.0321652,0,0,0,0,0,0,0.258321,0.114686,0.214157,0.284776,0.326554,0,0,0,0,0,0.0140459,0,0.162588
5,0,0,0,0.209026,0.206542,0.0339728,0,0,0,0.390429,0,0,0.206397,0,0,0,0.0719821,0,0.0696952,0,0,0.113103,0,0.496334,0.0537745,0.0822893,0.495625,0,0,0.0725222,0.595412,0,0,0,0.40615,0.127398,0.0928375,0.07545,0,0.146939,0.0940217,0,0,0,0.298574,0.473822,0.304879,0.0206672,0.0354451,0,0,0.0626674,0.440908,0,0.0694711,0.158026,0,0,0,0,0,0.101285,0.0425147,0.131302,0,0,0,0.0919568,0,0,0,0,0,0.241068,0.0923285,0,0,0.221482,0.17968,0,0.227819,0,0.371273,0.0961671,0.368504,0.444954,0.400055,0,0,0,0,0,0.0365585,0,0.178448
6,0,0,0.28003,0,0,0.0424151,0,0,0,0,0,0,0,0.0330413,0.184619,0.158397,0,0.124476,0,0,0.169079,0,0.207075,0,0,0,0,0.181962,0.143311,0.0470332,0,0,0.104472,0.229436,0,0.077098,0,0.032328,0.304606,0,0.0644491,0.087293,0,0,0,0,0,0.0206119,0.0332301,0,0,0.078655,0,0.379191,0,0,0.449801,0,0.0611783,0.133579,0,0.0712035,0.0568681,0.108963,0.358113,0,0.029589,0.0904005,0,0.381612,0,0,0,0,0.0950805,0.033319,0.0184337,0,0,0,0,0.413009,0,0.0901537,0.534108,0.543988,0,0,0.359324,0.35392,0,0,0.061861,0,0.164515
7,0,0,0,0.223694,0.194218,0.0404922,0,0.0632142,0.183808,0,0,0,0.23354,0,0,0,0.0942303,0,0.0334209,0.0515727,0,0.0502576,0,0,0.0713798,0.052425,0,0,0,0.0551499,0,0,0.0540952,0,0,0.0490633,0.0390921,0.0588239,0,0,0.0471647,0,0.0363488,0,0,0,0,0.0156083,0.026614,0.29816,0,0.0755989,0,0,0.0812902,0,0,0.0763023,0.086908,0.17542,0.0713954,0.0203971,0.109081,0.0798281,0,0,0.0303841,0.0695398,0,0,0.0769886,0.227081,0.146588,0,0.0764732,0,0.0250046,0.217105,0.0491467,0,0,0,0,0.0997066,0,0,0,0.292694,0,0,0,0.0601842,0.0676287,0.265424,0
8,0,0,0,0,0,0.025704,0,0,0,0,0,0,0,0.0418272,0,0.0640062,0,0,0,0,0,0,0.145462,0.13862,0.127684,0.0929634,0,0,0.0231102,0.0559678,0,0,0.0268198,0,0,0.0526153,0,0.154219,0,0.144287,0.0393379,0,0,0,0,0,0,0.0231778,0.0355891,0,0.140659,0.0557283,0,0,0.0897314,0.0655364,0,0,0.0940363,0.22436,0,0.0455921,0.168955,0.0528174,0,0,0.0319403,0.0406298,0.0652707,0,0.0471138,0,0,0,0.0414621,0,0.0282094,0,0,0,0,0,0,0.101828,0,0,0,0,0,0,0,0.118724,0.0631864,0,0.0428264
9,0,0,0,0.221048,0.199371,0.0141555,0,0,0,0,0,0,0.214832,0,0.152049,0,0.0690813,0.0428077,0,0,0.101789,0.0556594,0,0,0.159551,0.106941,0,0.0750237,0,0.0405126,0,0.240234,0,0,0.199898,0.028819,0,0,0,0,0.0414544,0,0,0,0,0,0,0.0289594,0.0445201,0,0,0.0426569,0,0,0.0878143,0,0,0.165263,0.0854429,0.259719,0,0.0977995,0.202699,0.045317,0,0.100734,0.0306894,0.032945,0,0,0.0231626,0,0,0,0.0203745,0.0241083,0.0238101,0.21515,0.0163122,0,0.133632,0,0,0.088849,0,0,0,0,0,0,0,0.169425,0.065018,0,0
10,0,0,0.25086,0,0,0.0305598,0,0,0.296322,0.241645,0.438661,0.303077,0,0.06215,0,0,0.0795027,0,0,0.161367,0,0.0601651,0,0.0474745,0.146274,0.0928991,0,0,0.0327286,0.0346383,0,0,0.106793,0,0,0.0123732,0.252449,0.242131,0,0,0.0574994,0,0,0.281976,0,0,0,0.0306935,0.0476251,0.169178,0.198645,0.0472687,0,0.329619,0.0744813,0.162931,0,0.182179,0.0797883,0.253059,0.132177,0.114953,0.19499,0.0426805,0,0,0.0337524,0.0319161,0.384483,0,0.0276911,0,0.109202,0.0888027,0.0296582,0.0220484,0.0244621,0,0.00898498,0,0,0,0,0.0710426,0,0,0.310844,0,0,0,0.0926827,0.177609,0.0732309,0,0.0157501
11,0,0,0,0.203908,0.175131,0.0335189,0.298598,0.182457,0,0,0,0,0,0.0548262,0.172623,0,0.12685,0.0908593,0,0,0.0629175,0.0506166,0,0,0.102118,0.0602074,0,0.172327,0,0.0435958,0,0.338217,0.166716,0,0,0.05865,0,0,0,0.35917,0.0732294,0,0.468548,0,0,0.300882,0,0.0274772,0.0428829,0,0,0.0444359,0,0,0.0575755,0,0,0,0.0798562,0.198116,0,0.100419,0.156322,0.0286252,0.323115,0.0867443,0.0340004,0.0482524,0,0,0.0620565,0,0,0,0.0529247,0.0214139,0.0299772,0.210906,0.0169811,0.118049,0.108914,0.303464,0,0.0594614,0,0.158707,0,0,0.408667,0,0,0.147565,0.0628805,0.367322,0.0259887
12,0,0,0,0,0,0.0233657,0,0,0,0,0,0,0.0573356,0.0350175,0,0,0.198597,0.159325,0,0.0368645,0.0217988,0.0259521,0,0.130521,0.0504598,0.0241566,0.23512,0.254223,0,0.0664312,0.171775,0,0.222413,0,0,0.111507,0,0.0879803,0.146882,0,0.0892676,0.0703195,0,0,0.148545,0,0.140714,0.0223457,0.0308529,0,0,0.0334755,0,0,0.0435818,0,0.475099,0,0.0774775,0.119942,0.0871829,0.075695,0.107695,0.00930507,0,0,0.0310686,0.103254,0,0.187499,0.113403,0.329685,0.2844,0.223414,0.0945614,0.0131583,0.0384143,0,0.0319567,0,0.0745549,0,0,0.0648911,0,0,0,0.0402702,0,0,0.218351,0.108682,0.0388477,0,0.0577309
13,0,0,0,0.053144,0.0252452,0.0168551,0,0,0,0,0,0,0.0606261,0.0449748,0,0,0.247521,0.20756,0,0.0314392,0.0122368,0.0196326,0,0.174931,0.0129594,0.0145335,0,0.3052,0.0555272,0.0865448,0,0,0.251597,0,0.356416,0.150664,0.0750622,0.0395066,0,0,0.104393,0,0,0,0,0,0,0.0240464,0.0276531,0,0,0.0323388,0,0,0.0331771,0.0896758,0,0.153938,0.0811988,0.065246,0.0699567,0.0594005,0.0700003,0.017486,0,0.131487,0.0364772,0.146132,0,0,0.150256,0,0,0,0.13029,0.00710489,0.0487256,0,0.042683,0.114213,0.0486942,0,0,0.0741266,0,0,0,0,0,0,0.255382,0.0974031,0.023965,0,0.0761359
14,0,0,0,0,0,0.0195537,0,0.152785,0,0.0264822,0,0.292535,0.0530101,0.072536,0.192021,0,0,0,0,0.0539175,0.0300222,0.0598355,0,0.204702,0.0167254,0.0287578,0,0,0,0.0926528,0,0,0,0,0,0.159425,0,0.052872,0,0,0.11102,0.110688,0,0.278361,0,0,0,0.0311138,0.0379322,0,0,0.0581575,0,0,0.0180518,0,0,0,0.0866457,0.0499404,0.0756357,0.0496397,0.0462739,0.0244613,0,0,0.0465055,0.15137,0,0,0.153173,0,0.337895,0.265303,0.138374,0.0195058,0.0592809,0,0.0424181,0.134774,0.0527813,0,0,0.0735568,0,0,0,0,0,0,0,0.0737864,0.0403588,0.431089,0.0783125
15,0,0.263255,0,0.0586234,0.0691367,0.0248115,0,0.282833,0.163219,0.0517932,0,0,0.0374588,0.0919428,0,0,0.230354,0.195256,0,0.0603665,0.0407583,0.0869372,0.401617,0.219394,0.0331011,0.0399023,0,0.291834,0.0963009,0.081962,0,0,0.214095,0.384518,0,0.134792,0.0369359,0.0610833,0.36731,0.130345,0.107294,0,0,0,0,0,0,0.0436352,0.0517449,0,0,0.0759122,0.144421,0.0740375,0.0146046,0.0981756,0,0.13656,0.0965094,0.0978834,0.0815542,0.0534745,0.0355878,0.0201978,0,0.0969981,0.0552142,0.126425,0,0,0.128447,0.316842,0,0,0.121134,0.039163,0.0678919,0,0.0398583,0,0.04495,0,0,0.0743667,0,0,0,0,0,0.21782,0.217521,0.0173934,0.0632286,0,0.0747899
16,0,0.283744,0,0.0516754,0.0672742,0.0217865,0,0,0,0,0,0,0.0215969,0.0934624,0,0,0,0,0,0.0594565,0.0450881,0.0894994,0,0.231183,0.0431933,0.04556,0.36111,0,0,0.0698058,0.322654,0,0,0,0.370649,0.111388,0.0261013,0.0617379,0,0,0.093662,0.123507,0.182552,0,0.171464,0.355393,0.219226,0.054335,0.0599234,0.322685,0,0.0707165,0.071713,0,0.0267559,0,0.0691469,0,0.109953,0.17857,0,0.0698334,0.0379208,0.0244696,0.0324173,0.0982997,0.0544502,0.101087,0.159886,0.109722,0.104791,0,0.242681,0,0.101727,0.0517775,0.067211,0,0.0414553,0.101612,0.0354969,0.263931,0,0.0834003,0,0.0938943,0.0760319,0,0.0430177,0,0,0.0768574,0.0742682,0,0.0733455
17,0,0,0,0.0487724,0.046311,0.0157405,0.163792,0,0,0.0309243,0,0,0.0258587,0.0813286,0.077084,0,0.171219,0,0,0.0527377,0.042151,0.0742172,0,0.242267,0.0482154,0.0440125,0,0,0,0.0682898,0,0,0,0,0,0.119604,0.0314997,0.0616482,0,0,0.0771207,0.096167,0,0,0,0,0,0.0606251,0.0616995,0,0.298344,0.0498741,0.105898,0.0729427,0.0412548,0,0,0.0442366,0.12406,0.247053,0,0.0753832,0.0461481,0.0321148,0,0.132531,0.0412574,0.095817,0,0,0.100637,0,0,0,0.0964168,0.0545116,0.0557713,0,0.0496905,0.102497,0.0697437,0,0,0.0964943,0,0,0,0.142299,0,0.113966,0,0.14616,0.0733255,0,0.0763744
18,0,0,0.240278,0.0467674,0.022941,0.0129357,0,0,0,0,0,0,0.0332536,0.064173,0.078891,0,0,0.181324,0,0.0442164,0.0342985,0.0545061,0,0.255269,0.0467894,0.0370888,0,0.263804,0,0.0795345,0,0,0.164969,0.35036,0,0.147879,0.0545646,0.063405,0,0,0.0663635,0.0628125,0,0,0,0,0,0.0571445,0.0550887,0,0,0.0302181,0.208767,0,0.0492634,0,0,0.0309939,0.131741,0.277358,0,0.0654605,0.0529746,0.0266612,0,0,0.0239905,0.086877,0.268561,0,0.091272,0,0,0,0.0857308,0.0472321,0.0401044,0,0.0549033,0.119627,0.0878477,0,0,0.099027,0,0,0,0,0,0,0,0.17631,0.0667025,0,0.0728576
19,0,0,0,0.0402169,0.020042,0.00823154,0,0,0,0.200469,0,0,0.0324364,0.0504375,0.0804272,0,0.204923,0,0,0.0391643,0.0270973,0.0412327,0.351309,0.261802,0.0395757,0.0312208,0,0,0,0.0896312,0,0,0,0,0,0.164419,0.0670853,0.0609033,0,0.0421549,0.0598781,0.0458787,0,0,0,0,0,0.0469449,0.0446061,0,0,0.0266474,0,0.441964,0.0534191,0,0.090688,0.0217343,0.125989,0.259024,0,0.0447763,0.0535159,0.0148574,0,0.120444,0.0115724,0.0602886,0,0,0.0612352,0,0.144724,0,0.0581769,0.0381424,0.024737,0,0.0531491,0.111763,0.0844345,0,0,0.0874051,0,0.120616,0.202588,0,0.299026,0,0,0.161245,0.057682,0.402611,0.0585493
20,0,0.064798,0.119541,0.0376671,0.0316982,0.013178,0.0741809,0,0.129394,0,0,0,0.0275292,0.0419093,0.0827668,0.185073,0,0.189742,0,0.0283523,0.0201724,0.0361337,0,0.247756,0.0261269,0.025048,0.159156,0,0,0.0851049,0.225684,0,0,0,0.259113,0.151688,0.063312,0.0472485,0.0834119,0.0369977,0.0575526,0.0393367,0.0673645,0,0.07169,0,0.0257698,0.0373008,0.0351738,0.240974,0,0.0326082,0,0,0.058348,0,0,0.0221659,0.115382,0.21118,0,0.0219412,0.0531602,0.00549577,0.231211,0.0850149,0.0144449,0.0427852,0.391191,0,0.0368302,0,0,0,0.0351249,0.0333425,0.0118588,0,0.0513753,0.0898993,0.0745627,0.188167,0.0986446,0.0750301,0,0,0,0.0603807,0,0,0,0.128988,0.0465837,0,0.0443336
21,0,0,0.0772832,0.0352668,0.0381206,0.024092,0,0,0,0,0,0.276241,0.0291367,0.0298648,0.0862023,0,0.147667,0,0,0.0218486,0.0200595,0.0336358,0,0.222842,0.0212841,0.0262702,0,0.568051,0,0.075944,0,0,0,0,0,0.126666,0.0569815,0.0468725,0,0.0518096,0.0452917,0.0510454,0.0949276,0,0,0,0,0.037704,0.0331429,0,0,0.0347039,0,0,0.06283,0,0.0574422,0.028757,0.101807,0.15978,0,0.0107004,0.0588141,0.00716937,0,0.0762197,0.0257307,0.0595802,0,0,0.0639528,0,0,0,0.0480903,0.0392786,0.0139757,0,0.0563786,0.08447,0.0678171,0,0,0.0708789,0,0.0889362,0,0,0,0.0492813,0.187014,0.109677,0.0309958,0,0.0385575
22,0,0.111188,0.0559735,0.0422571,0.0485701,0.0418335,0.12927,0,0,0,0,0,0.0434124,0.0445505,0.0916175,0,0.129516,0.149046,0,0.0338098,0.0335903,0.0564964,0,0.203832,0.0329449,0.0402261,0,0,0,0.0787056,0,0,0.52717,0.258364,0,0.11261,0.0505401,0.0616356,0,0.0690176,0.025112,0.0619809,0.114858,0,0,0,0,0.0492366,0.0415934,0,0.223661,0.0490351,0.10025,0,0.0689152,0,0.0599697,0.0366267,0.0994208,0.13238,0,0.0148397,0.063759,0.0197548,0,0.11054,0.0403219,0.085063,0,0,0.102975,0.416129,0.321112,0,0.0748413,0.055567,0.0262037,0,0.069403,0.094608,0.0634054,0,0,0.07838,0,0.0670967,0.0692371,0.0807386,0,0.0324176,0,0.119214,0.0521208,0,0.0430674
23,0,0,0.0369364,0.055674,0.0604554,0.0582653,0,0,0.0316739,0,0,0.161293,0.060525,0.0724427,0.0991804,0.11636,0.122324,0.147883,0,0.0462813,0.0438677,0.0834627,0,0.193037,0.0465727,0.0510309,0.20537,0,0,0.0881163,0.163655,0,0,0,0,0.109314,0.0388995,0.0718523,0.130387,0.0733006,0.0143517,0.0681516,0.107058,0,0,0.203733,0.0668956,0.061358,0.0532016,0,0,0.0673067,0.0603737,0,0.0769907,0,0.0693176,0.0451336,0.108764,0.141737,0,0.0253477,0.0670191,0.0323218,0.0815925,0.157144,0.0520841,0.110699,0,0,0.140233,0,0,0,0.103646,0.0722184,0.0356005,0,0.0812759,0.108887,0.0628412,0,0.0487678,0.0885381,0,0.0434302,0.0258229,0.125498,0.064802,0.0517875,0,0.151137,0.0852,0,0.0508631
24,0,0.082114,0.0383427,0.0661423,0.0695475,0.0700392,0.0931137,0,0.0323238,0,0,0.116018,0.072105,0.0918131,0.106905,0,0.10938,0.134743,0,0.0524502,0.0454728,0.100877,0,0.18127,0.0537145,0.0536711,0,0,0,0.0893742,0.129848,0,0,0,0,0.100359,0.0264632,0.074874,0,0.0697037,0.0171308,0.0703285,0.0868899,0,0,0,0,0.0686245,0.0611174,0.225317,0,0.0816193,0.0249222,0,0.0842866,0,0.0782137,0.0504066,0.119672,0.151488,0,0.035447,0.0702925,0.0388106,0.0699535,0.178576,0.0561998,0.124688,0,0,0.15941,0,0,0,0.122651,0.0813263,0.0382818,0,0.0898843,0.122917,0.0660892,0.0428827,0.0491854,0.095947,0,0.0380376,0.025044,0.165302,0.0537432,0.091356,0.327327,0.167343,0.10818,0,0.0592556
25,0,0.0532432,0.0570971,0.0685282,0.0796826,0.0773632,0.0608066,0,0.053965,0,0,0.0789722,0.0728801,0.0998374,0.107284,0.0790499,0.0842053,0.10602,0,0.0481196,0.0380066,0.11027,0,0.161375,0.0509196,0.0458091,0.138058,0,0,0.0778687,0.085858,0,0,0,0.185338,0.0784706,0.0248166,0.0689237,0.0599839,0.0566445,0.0160951,0.0616294,0.0604319,0,0,0.13352,0.0249461,0.0659627,0.059985,0,0,0.0948106,0.0213983,0,0.0831368,0,0.0798635,0.0501201,0.122096,0.136667,0,0.0391506,0.0671069,0.0370063,0.0844878,0.169657,0.0483686,0.12905,0,0,0.162211,0,0.413201,0,0.133091,0.0784764,0.0321671,0,0.0945704,0.131332,0.0702329,0.0735134,0.0599836,0.0951727,0,0.0500091,0.052105,0.193074,0.0724418,0.120883,0,0.154767,0.120294,0.282181,0.0633204
